Córrego;Altitude;Profundidade;Largura;Velocidade;Oxigênio;pH;Condutividade;Temperatura;Integridade Ambiental
#10;0.50724555;-1.206561048;-0.386525904;-1.165923156;-0.061691469;0.966124014;0.312629714;-0.38689713;1.397502948
#10;0.50724555;-0.681516501;-0.543822114;-0.325333622;-0.061691469;0.966124014;0.312629714;-0.38689713;1.397502948
#10;0.50724555;-0.013277986;-0.605372805;0.179020098;0.263082258;0.994112859;0.383965308;-0.38689713;1.397502948
#11;0.566921497;-0.586053856;-0.721635221;-0.605530133;0.74169617;1.050090547;0.332084876;-0.268018123;0.22402719
#11;0.566921497;-0.681516501;-0.97467695;-0.77364804;0.74169617;1.050090547;0.332084876;-0.268018123;0.22402719
#11;0.566921497;0.177647304;-1.207201782;0.201435819;0.74169617;1.050090547;0.332084876;-0.268018123;0.22402719
#11;0.566921497;-0.490591211;-1.077261435;-0.605530133;0.74169617;1.050090547;0.332084876;-0.268018123;0.22402719
#11;0.566921497;-0.204203276;-1.241396611;-0.26929432;0.74169617;1.050090547;0.332084876;-0.268018123;0.22402719
#11;0.566921497;-0.776979146;-1.043066607;-0.829687342;0.22889555;1.022101703;0.484483645;-0.030260111;0.22402719
#11;0.566921497;-1.063367081;-0.571177977;-1.076260272;0.22889555;1.022101703;0.484483645;-0.030260111;0.22402719
#11;0.566921497;-0.586053856;-0.536983148;-0.661569436;0.22889555;1.022101703;0.484483645;-0.030260111;0.22402719
#11;0.566921497;-0.776979146;-0.653245565;-0.885726645;0.22889555;1.022101703;0.484483645;-0.030260111;0.22402719
#11;0.566921497;-0.843802997;-0.632728668;-1.042636691;0.22889555;1.022101703;0.484483645;-0.030260111;0.22402719
#11;0.566921497;-1.063367081;-0.160840038;-1.053844551;-0.830892399;0.994112859;0.199141269;-0.149139117;0.22402719
